MätplatsID;Mätplatsnamn;MätplatsBeskrivning;Sträcka;RiktplatsA;RiktplatsB;R1;R2;koordinater.mätpunkter.R1;koordinater.mätpunkter.R2
6686;C 0217 Strandvägen;Cykelbana längs Strandvägen;Strandvägen;Nybroplan;Artillerigatan;Nybroplan => Artillerigatan;Artillerigatan => Nybroplan;MultiPoint(154436.755 6579680.878, 154438.82 6579679.871);MultiPoint(154439.502 6579686.371, 154441.566 6579685.135)
6687;C 0428 Örbyleden - Grycksbovägen;Cykelbana längs Örbyleden vid Högdalen;Örbyleden;Skönviksvägen;Grycksbovägen;Skönviksvägen => Grycksbovägen;Grycksbovägen => Skönviksvägen;MultiPoint(153200.92 6572704.688, 153198.853 6572704.983, 153200.112 6572704.651);MultiPoint(153201.321 6572707.606, 153198.967 6572707.844, 153200.341 6572707.74)
8293;C 0427 Huddingevägen;Cykelväg längs Huddingevägen norr om Örbyleden;Huddingevägen cykelväg sydöstra;Skönsmovägen;Örbyleden;Skönsmovägen => Örbyleden;Örbyleden => Skönsmovägen;MultiPoint(152190.23 6573922.457, 152189.976 6573922.33, 152189.34 6573921.821, 152190.103 6573922.33);MultiPoint(152188.195 6573924.618, 152187.941 6573924.618, 152187.941 6573924.491, 152188.45 6573924.872)
6542;C0631X02;Bällstavägen, ID 146S;Bällstavägen;Plommonvägen (riktning);Bällsta Allé (riktning);Plommonvägen (riktning) => Bällsta Allé (riktning);Bällsta Allé (riktning) => Plommonvägen (riktning);MultiPoint(146019.779 6582811.246);MultiPoint(146019.093 6582813.306)
6545;C0682X01;Spångavägen, ID 132Ns;Spångavägen;Norlindsvägen;Bällstavägen;Norlindsvägen => Bällstavägen;Bällstavägen => Norlindsvägen;MultiPoint(144967.405 6582365.738);MultiPoint(144961.454 6582360.702)
6546;C0682X02;Spångavägen, ID 132Ss;Spångavägen;Bällstavägen;Nordlindsvägen (riktning);Bällstavägen => Nordlindsvägen (riktning);Nordlindsvägen (riktning) => Bällstavägen;MultiPoint(144947.263 6582351.089);MultiPoint(144953.214 6582356.125)
6577;C0108X02;Kungsholms Strandstig del Pipersgatan - Blekholmsbron;Blekholmsbron;Pipersgatan;cykelväg;Pipersgatan => cykelväg;cykelväg => Pipersgatan;MultiPoint(152810.738 6579705.734);MultiPoint(152815.659 6579708.137)
6604;C0682X01 Total;SPÅNGAVÄGEN delen Bällstavägen - Norlindsvägen;Spångavägen;Bällstavägen;Norlindsvägen;Bällstavägen => Norlindsvägen;Norlindsvägen => Bällstavägen;MultiPoint(144961.454 6582360.702, 144947.263 6582351.089);MultiPoint(144967.405 6582365.738, 144953.214 6582356.125)
6523;C0620X02;Ulvsundavägen, ID 126Ö;Ulvsundavägen;Ulvsundaplan;Lövåsvägen;Ulvsundaplan => Lövåsvägen;Lövåsvägen => Ulvsundaplan;MultiPoint(148210.064 6580017.709);MultiPoint(148201.824 6580012.216)
6526;C0619X02;Brommaplan, ID 128 S;Drottningholmsvägen;Abrahamsbergsvägen;Brommaplan;Abrahamsbergsvägen => Brommaplan;Brommaplan => Abrahamsbergsvägen;MultiPoint(146764.44 6580434.238);MultiPoint(146759.633 6580422.794)
6598;C0507X01 Total;HÄGERSTENSVÄGEN delen Fågeltorget - Örnsbergsvägen;Hägerstensvägen;Fågeltorget;Örnsbergsvägen;Fågeltorget => Örnsbergsvägen;Örnsbergsvägen => Fågeltorget;MultiPoint(149422.606 6576663.052, 149423.063 6576646.573);MultiPoint(149423.979 6576653.897, 149425.352 6576636.044)
6602;C0620X01 Total;ULVSUNDAVÄGEN delen Lillsjönäsvägen - Ulvsundaplan;Ulvsundavägen;Lillsjönäsvägen;Ulvsundaplan;Lillsjönäsvägen => Ulvsundaplan;Ulvsundaplan => Lillsjönäsvägen;MultiPoint(148182.062 6580006.315, 148201.824 6580012.216);MultiPoint(148186.869 6580008.833, 148210.064 6580017.709)
6326;C0407X01;SOCKENVÄGEN del ENSKEDEVÄGEN - HANDELSVÄGEN;Sockenvägen;Enskedevägen;Handelsvägen;Enskedevägen => Handelsvägen;Handelsvägen => Enskedevägen;MultiPoint(154187.855 6574180.993);MultiPoint(154191.975 6574189.691)
6361;C0201X02;Roslagsvägen Västra del Brunnsviksvägen - Greta Arwidssons Väg;Roslagsvägen;Brunnsviksvägen;Greta Arwidssons Väg;Brunnsviksvägen => Greta Arwidssons Väg;Greta Arwidssons Väg => Brunnsviksvägen;MultiPoint(153123.861 6582318.666);MultiPoint(153117.453 6582323.243)
6496;C0507X02;Hägerstensvägen Södra sidan;cykelväg;Typografvägen;Fågeltorget;Typografvägen => Fågeltorget;Fågeltorget => Typografvägen;MultiPoint(149425.352 6576636.044);MultiPoint(149423.063 6576646.573)
6501;C0428X03;Grycksbovägen Norra sidan, ID 113N;cykelväg;Götaforsvägen;cykelväg;Götaforsvägen => cykelväg;cykelväg => Götaforsvägen;MultiPoint(153253.403 6572721.223);MultiPoint(153256.836 6572716.874)
6506;C0418X01;Flygfältsgatan, ID 124s;cykelväg;Flatenvägen;Tätorpsvägen;Flatenvägen => Tätorpsvägen;Tätorpsvägen => Flatenvägen;MultiPoint(158191.02 6572108.365);MultiPoint(158181.407 6572107.45)
6508;C0418X02;Flatenvägen;cykelväg;Flygfältsgatan;Kasbyvägen;Flygfältsgatan => Kasbyvägen;Kasbyvägen => Flygfältsgatan;MultiPoint(158395.127 6571950.843);MultiPoint(158403.367 6571969.154)
6531;C0609X01;Bergslagsplan, ID 134V;Bergslagsvägen;Vällingbyrondellen;Bergslagsplan;Vällingbyrondellen => Bergslagsplan;Bergslagsplan => Vällingbyrondellen;MultiPoint(142083.62 6583333.911);MultiPoint(142069.887 6583324.756)
6536;C0634X01;Sörgårdsvägen, ID 37;cykelväg;Värstagårdsvägen;Adolf Rudbecks Väg (riktning);Värstagårdsvägen => Adolf Rudbecks Väg (riktning);Adolf Rudbecks Väg (riktning) => Värstagårdsvägen;MultiPoint(143971.462 6585119.071);MultiPoint(143973.408 6585115.065)
6540;C0646X01;Turebergsleden, ID 144;Turebergsleden;Kommungräns (Uppsalavägen);Esbobron;Kommungräns (Uppsalavägen) => Esbobron;Esbobron => Kommungräns (Uppsalavägen);MultiPoint(146260.881 6589083.487);MultiPoint(146262.483 6589078.68)
